Date,BTC_supply
4/28/2016,15479950
4/27/2016,15476725
4/26/2016,15472950
4/25/2016,15469775
4/24/2016,15466475
4/23/2016,15462875
4/22/2016,15459300
4/21/2016,15455525
4/20/2016,15450475
4/19/2016,15446725
4/18/2016,15443350
4/17/2016,15439525
4/16/2016,15435950
4/15/2016,15432325
4/14/2016,15428200
4/13/2016,15424275
4/12/2016,15420475
4/11/2016,15416700
4/10/2016,15412350
4/9/2016,15408300
4/8/2016,15404775
4/7/2016,15401125
4/6/2016,15397250
4/5/2016,15393525
4/4/2016,15389425
4/3/2016,15385750
4/2/2016,15382000
4/1/2016,15378575
3/31/2016,15375450
3/30/2016,15371475
3/29/2016,15367225
3/28/2016,15363675
3/27/2016,15359850
3/26/2016,15356175
3/25/2016,15352550
3/24/2016,15348775
3/23/2016,15345000
3/22/2016,15341275
3/21/2016,15338125
3/20/2016,15334350
3/19/2016,15330975
3/18/2016,15327525
3/17/2016,15324150
3/16/2016,15319900
3/15/2016,15319900
3/14/2016,15316100
3/13/2016,15312325
3/12/2016,15305425
3/11/2016,15301350
3/10/2016,15297325
3/9/2016,15293200
3/8/2016,15289850
3/7/2016,15285975
3/6/2016,15282500
3/5/2016,15278525
3/4/2016,15274725
3/3/2016,15271400
3/2/2016,15267475
3/1/2016,15264275
2/29/2016,15260900
2/28/2016,15257175
2/27/2016,15253900
2/26/2016,15250150
2/25/2016,15246525
2/24/2016,15243450
2/23/2016,15240075
2/22/2016,15236825
2/21/2016,15233675
2/20/2016,15229725
2/19/2016,15226250
2/18/2016,15221750
2/17/2016,15218250
2/16/2016,15214525
2/15/2016,15210825
2/14/2016,15206325
2/13/2016,15202500
2/12/2016,15198525
2/11/2016,15193725
2/10/2016,15189500
2/9/2016,15185275
2/8/2016,15181250
2/7/2016,15176700
2/6/2016,15171925
2/5/2016,15167425
2/4/2016,15162800
2/3/2016,15158450
2/2/2016,15154350
2/1/2016,15149950
1/31/2016,15145475
1/30/2016,15141050
1/29/2016,15136800
1/28/2016,15133100
1/27/2016,15129250
1/26/2016,15125150
1/25/2016,15120825
1/24/2016,15116675
1/23/2016,15112200
1/22/2016,15108075
1/21/2016,15104725
1/20/2016,15101075
1/19/2016,15097350
1/18/2016,15092975
1/17/2016,15089500
1/16/2016,15086025
1/15/2016,15082950
1/14/2016,15079650
1/13/2016,15075825
1/12/2016,15071425
1/11/2016,15067175
1/10/2016,15062925
1/9/2016,15058950
1/8/2016,15054575
1/7/2016,15050975
1/6/2016,15047575
1/5/2016,15043500
1/4/2016,15039125
1/3/2016,15035400
1/2/2016,15031975
1/1/2016,15028600
12/31/2015,15025000
12/30/2015,15020675
12/29/2015,15016875
12/28/2015,15012850
12/27/2015,15007975
12/26/2015,15003325
12/25/2015,14999975
12/24/2015,14996250
12/23/2015,14992125
12/22/2015,14988600
12/21/2015,14984750
12/20/2015,14980525
12/19/2015,14976650
12/18/2015,14972650
12/17/2015,14968675
12/16/2015,14964475
12/15/2015,14959650
12/14/2015,14955250
12/13/2015,14951525
12/12/2015,14947350
12/11/2015,14942975
12/10/2015,14938075
12/9/2015,14933650
12/8/2015,14929675
12/7/2015,14925900
12/6/2015,14925900
12/5/2015,14921600
12/4/2015,14913750
12/3/2015,14910150
12/2/2015,14906475
12/1/2015,14901675
11/30/2015,14897925
11/29/2015,14894000
11/28/2015,14890350
11/27/2015,14886625
11/26/2015,14882575
11/25/2015,14878725
11/24/2015,14874925
11/23/2015,14870925
11/22/2015,14866575
11/21/2015,14862125
11/20/2015,14858150
11/19/2015,14854650
11/18/2015,14851150
11/17/2015,14847125
11/16/2015,14842725
11/15/2015,14839100
11/14/2015,14835300
11/13/2015,14831125
11/12/2015,14827475
