Date,S&P Adj Close,S&P Volume
5/24/2016,2076.060059,3627340000
5/25/2016,2090.540039,3859160000
5/26/2016,2090.100098,3230990000
5/27/2016,2099.060059,3079150000
5/31/2016,2096.949951,4514410000
6/1/2016,2099.330078,3525170000
6/2/2016,2105.26001,3632720000
6/3/2016,2099.129883,3627780000
6/6/2016,2109.409912,3442020000
6/7/2016,2112.129883,3534730000
6/8/2016,2119.120117,3562060000
6/9/2016,2115.47998,3290320000
6/10/2016,2096.070068,3515010000
6/13/2016,2079.060059,3392030000
6/14/2016,2075.320068,3759770000
6/15/2016,2071.5,3544720000
6/16/2016,2077.98999,3628280000
6/17/2016,2071.219971,4952630000
6/20/2016,2083.25,3467440000
6/21/2016,2088.899902,3232880000
6/22/2016,2085.449951,3168160000
6/23/2016,2113.320068,3297940000
6/24/2016,2037.410034,7597450000
6/27/2016,2000.540039,5431220000
6/28/2016,2036.089966,4385810000
6/29/2016,2070.77002,4241740000
6/30/2016,2098.860107,4622820000
7/1/2016,2102.949951,3458890000
7/5/2016,2088.550049,3658380000
7/6/2016,2099.72998,3909380000
7/7/2016,2097.899902,3604550000
7/8/2016,2129.899902,3607500000
7/11/2016,2137.159912,3253340000
7/12/2016,2152.139893,4097820000
7/13/2016,2152.429932,3502320000
7/14/2016,2163.75,3465610000
7/15/2016,2161.73999,3122600000
7/18/2016,2166.889893,3009310000
7/19/2016,2163.780029,2968340000
7/20/2016,2173.02002,3211860000
7/21/2016,2165.169922,3438900000
7/22/2016,2175.030029,3023280000
7/25/2016,2168.47998,3057240000
7/26/2016,2169.179932,3442350000
7/27/2016,2166.580078,3995500000
7/28/2016,2170.060059,3664240000
7/29/2016,2173.600098,4038840000
8/1/2016,2170.840088,3505990000
8/2/2016,2157.030029,3848750000
8/3/2016,2163.790039,3786530000
8/4/2016,2164.25,3709200000
8/5/2016,2182.870117,3663070000
8/8/2016,2180.889893,3327550000
8/9/2016,2181.73999,3334300000
8/10/2016,2175.48999,3254950000
8/11/2016,2185.790039,3423160000
8/12/2016,2184.050049,3000660000
8/15/2016,2190.149902,3078530000
8/16/2016,2178.149902,3196400000
8/17/2016,2182.219971,3388910000
8/18/2016,2187.02002,3300570000
8/19/2016,2183.870117,3084800000
8/22/2016,2182.639893,2777550000
8/23/2016,2186.899902,3041490000
8/24/2016,2175.439941,3148280000
8/25/2016,2172.469971,2969310000
8/26/2016,2169.040039,3342340000
8/29/2016,2180.379883,2654780000
8/30/2016,2176.120117,3006800000
8/31/2016,2170.949951,3766390000
9/1/2016,2170.860107,3392120000
9/2/2016,2179.97998,3091120000
9/6/2016,2186.47998,3447650000
9/7/2016,2186.159912,3319420000
9/8/2016,2181.300049,3727840000
9/9/2016,2127.810059,4233960000
9/12/2016,2159.040039,4010480000
9/13/2016,2127.02002,4141670000
9/14/2016,2125.77002,3664100000
9/15/2016,2147.26001,3373720000
9/16/2016,2139.159912,5014360000
9/19/2016,2139.120117,3163000000
9/20/2016,2139.76001,3140730000
9/21/2016,2163.120117,3712090000
9/22/2016,2177.179932,3552830000
9/23/2016,2164.689941,3317190000
9/26/2016,2146.100098,3216170000
9/27/2016,2159.929932,3437770000
9/28/2016,2171.370117,3891460000
9/29/2016,2151.129883,4249220000
9/30/2016,2168.27002,4173340000
10/3/2016,2161.199951,3137550000
10/4/2016,2150.48999,3750890000
10/5/2016,2159.72998,3906550000
10/6/2016,2160.77002,3461550000
10/7/2016,2153.73999,3619890000
10/10/2016,2163.659912,2916550000
10/11/2016,2136.72998,3438270000
10/12/2016,2139.179932,2977100000
10/13/2016,2132.550049,3580450000
10/14/2016,2132.97998,3228150000
10/17/2016,2126.5,2830390000
10/18/2016,2139.600098,3170000000
10/19/2016,2144.290039,3362670000
10/20/2016,2141.340088,3337170000
10/21/2016,2141.159912,3448850000
10/24/2016,2151.330078,3357320000
10/25/2016,2143.159912,3751340000
10/26/2016,2139.429932,3775200000
10/27/2016,2133.040039,4204830000
10/28/2016,2126.409912,4019510000
10/31/2016,2126.149902,3922400000
11/1/2016,2111.719971,4532160000
11/2/2016,2097.939941,4248580000
11/3/2016,2088.659912,3886740000
11/4/2016,2085.179932,3837860000
11/7/2016,2131.52002,3736060000
11/8/2016,2139.560059,3916930000
11/9/2016,2163.26001,6264150000
11/10/2016,2167.47998,6451640000
11/11/2016,2164.449951,4988050000
11/14/2016,2164.199951,5367200000
11/15/2016,2180.389893,4543860000
11/16/2016,2176.939941,3830590000
11/17/2016,2187.120117,3809160000
11/18/2016,2181.899902,3572400000
