Date,ETH_price,ETH_volume
6/3/2016,13.84273588,21310804.98
6/4/2016,13.69739426,14233023.49
6/5/2016,13.97052907,9908484.139
6/6/2016,13.94200555,7633717.195
6/7/2016,14.54921695,19688483.52
6/8/2016,14.43177555,14566862.12
6/9/2016,14.44062374,6538415.617
6/10/2016,13.94373393,9751904.434
6/11/2016,13.96046097,9986576.469
6/12/2016,15.69700727,34155133.26
6/13/2016,17.55275029,33190471.73
6/14/2016,18.77037437,57195562.17
6/15/2016,18.42185369,16794245.39
6/16/2016,20.50940041,33609803.06
6/17/2016,15.39739782,176008430.1
6/18/2016,11.19713667,121410542.5
6/19/2016,12.23058703,68987538.97
6/20/2016,11.81483452,79924563.2
6/21/2016,12.98459788,73815982.1
6/22/2016,12.73775621,157698817
6/23/2016,13.676479,35210083.61
6/24/2016,13.9418969,42975326.33
6/25/2016,14.27628772,13474760.65
6/26/2016,13.84502996,12716765.34
6/27/2016,13.93254349,9026418.665
6/28/2016,12.29566056,38649828.67
6/29/2016,12.8004961,24102058.67
6/30/2016,13.3356267,25109656.27
7/1/2016,12.32964596,16090108.05
7/2/2016,12.0179825,12572639.31
7/3/2016,11.82516103,8919743.271
7/4/2016,11.42173873,10816581.46
7/5/2016,10.5408605,40761274.6
7/6/2016,10.51055994,16042852.43
7/7/2016,10.09893127,13787778.17
7/8/2016,11.39547875,17821594.5
7/9/2016,10.99572235,14035737.81
7/10/2016,10.95729434,4559501.886
7/11/2016,10.51545171,11938095.54
7/12/2016,10.60619361,8944484.246
7/13/2016,10.48905469,6087112.236
7/14/2016,11.24297096,13698700.02
7/15/2016,11.32509705,13798764.39
7/16/2016,11.70171602,10138776.97
7/17/2016,11.31478741,20447413.6
7/18/2016,11.02255634,13898138.25
7/19/2016,11.58250142,20242192.24
7/20/2016,12.15278827,29894784.28
7/21/2016,12.60591713,24473811.51
7/22/2016,14.31987737,72391413.22
7/23/2016,14.38972534,72744516.35
7/24/2016,12.80385181,71639748.4
7/25/2016,13.81663068,33694267.53
7/26/2016,11.77164176,76432695
7/27/2016,12.9663334,48754958.64
7/28/2016,12.88314961,19481593.53
7/29/2016,12.84003764,10125341.28
7/30/2016,12.54708178,8150653.893
7/31/2016,11.86840841,20238765.45
8/1/2016,10.96839785,17147499.53
8/2/2016,8.352592748,60708724.34
8/3/2016,10.22174782,44330639.68
8/4/2016,11.03216022,29307740.66
8/5/2016,10.94001411,10956639.35
8/6/2016,10.89863635,11692994.42
8/7/2016,10.92030806,11883004.41
8/8/2016,11.24580512,10967961.76
8/9/2016,12.19121871,29672733.52
8/10/2016,12.1412228,23499542.87
8/11/2016,11.98814019,24164966.87
8/12/2016,11.97372013,24135899.78
8/13/2016,11.57747267,6655535.198
8/14/2016,11.25990352,7543085.399
8/15/2016,11.23080705,5064027.898
8/16/2016,10.25082245,5249879.805
8/17/2016,10.73534634,5256928.972
8/18/2016,10.72421681,4567012.374
8/19/2016,10.71834472,3192133.227
8/20/2016,11.26275448,5076175.104
8/21/2016,11.15404431,3197471.331
8/22/2016,11.06137739,4831490.758
8/23/2016,11.01254308,4721007.823
8/24/2016,11.01381199,3221362.082
8/25/2016,11.33912744,6231804.81
8/26/2016,11.25681266,4403460.385
8/27/2016,11.14950759,1903199.561
8/28/2016,10.91304108,4055631.7
8/29/2016,10.90629059,5810173.644
8/30/2016,11.21087731,5550355.265
8/31/2016,11.49662475,7446354.073
9/1/2016,12.00287748,19546439.79
9/2/2016,12.0910428,7683911.542
9/3/2016,11.79758522,10099601.67
9/4/2016,11.66257954,5035842.952
9/5/2016,11.75189748,3788155.073
9/6/2016,11.68475544,4815696.85
9/7/2016,11.55002542,4664621.634
9/8/2016,11.33639873,7944145.033
9/9/2016,11.63011682,3826059.408
9/10/2016,12.11783086,4731455.713
9/11/2016,11.59605625,6472336.881
9/12/2016,11.84714198,4554653.825
9/13/2016,11.88172946,6637362.777
9/14/2016,11.91200801,3846492.756
9/15/2016,11.90147841,4500681.3
9/16/2016,12.52236928,14494427.65
9/17/2016,12.6845428,6237001.347
9/18/2016,12.36905214,18914756.79
9/19/2016,13.16016806,11627825.02
9/20/2016,14.30804658,28747263.94
9/21/2016,13.7051798,25166170.47
9/22/2016,13.23380274,23902556.17
9/23/2016,13.31899332,7256064.667
9/24/2016,12.85960577,7988975.036
9/25/2016,13.04559864,4488914.611
9/26/2016,12.8187464,5602575.391
9/27/2016,13.0747268,5399539.835
9/28/2016,13.31398944,6516563.112
9/29/2016,13.09665701,4241372.339
9/30/2016,13.19481816,4568583.276
10/1/2016,13.26982722,4727545.881
10/2/2016,13.19790993,2764266.959
10/3/2016,13.47060009,5821790.035
10/4/2016,13.26196221,6702196.698
10/5/2016,13.05665085,6285719.065
10/6/2016,12.82612846,9120081.098
10/7/2016,12.65567928,6504030.817
10/8/2016,12.17587496,8853947.553
10/9/2016,12.02951923,5440893.662
10/10/2016,11.83783209,9479462.929
10/11/2016,11.75026727,8989864.764
10/12/2016,11.85468766,7565516.582
10/13/2016,11.96064221,6550532.314
10/14/2016,11.91608947,3393733.081
10/15/2016,11.94460517,3047472.234
10/16/2016,11.93031339,2051473.398
10/17/2016,11.9749844,4329663.894
10/18/2016,12.50951126,14699505.27
10/19/2016,11.97380616,7727576.68
10/20/2016,12.01652208,4811381.152
10/21/2016,12.09057597,2496841.179
10/22/2016,12.04503828,3995386.224
10/23/2016,11.93380041,2843471.079
10/24/2016,11.89053545,2417942.61
10/25/2016,11.27271153,13528339.24
10/26/2016,11.49725737,6113958.131
10/27/2016,11.4566734,8682323.138
10/28/2016,11.52358438,8907341.459
10/29/2016,10.33681968,21618613.51
10/30/2016,11.18655716,12714282.57
10/31/2016,10.8807026,9254943.7
11/1/2016,10.79218738,17471506.38
11/2/2016,10.7835854,7632829.944
11/3/2016,10.8116301,11623516.37
11/4/2016,11.12999566,5924309.345
11/5/2016,11.06605826,3076392.295
11/6/2016,10.92076284,3218494.77
11/7/2016,10.87420083,2949427.103
11/8/2016,10.8901055,4085085.336
11/9/2016,10.66491816,12761164.95
11/10/2016,10.51928139,2902119.123
11/11/2016,10.29308735,4630773.471
11/12/2016,9.664325241,7585168.214
11/13/2016,10.11071946,7517444.686
11/14/2016,9.991652804,2576156.68
11/15/2016,10.20008386,4844767.74
11/16/2016,10.02536762,7762025.467
11/17/2016,9.963977985,5552737.539
11/18/2016,9.453697368,8802335.675
11/19/2016,9.667305807,3851758.817
11/20/2016,9.530496491,4110666.002
11/21/2016,9.575907933,2465979.656
11/22/2016,9.812491502,9216379.378
11/23/2016,9.753493133,3470748.247
11/24/2016,9.180997416,13786747.08
11/25/2016,9.335116894,6006996.216
11/26/2016,9.288306187,2161817.279
11/27/2016,8.907402683,6689742.925
11/28/2016,8.708452467,4477356.374
11/29/2016,8.158494316,13917166.75
11/30/2016,8.650154047,9134285.157
12/1/2016,8.439785439,4918051.799
12/2/2016,7.637917965,15380798.55
12/3/2016,7.892622837,10486224.2
12/4/2016,7.46913219,6571191.49
12/5/2016,6.815609222,15221226.68
12/6/2016,7.631916157,56439748.77
12/7/2016,8.135077983,25080911.32
12/8/2016,8.302596338,12722352.04
12/9/2016,8.504900485,10533790.23
12/10/2016,8.098585501,5983385.689
12/11/2016,8.214985823,4100522.259
12/12/2016,8.472511709,6987403.012
12/13/2016,8.351007262,2905152.217
12/14/2016,8.207853104,3686497.058
12/15/2016,7.77035797,8295155.059
12/16/2016,7.796626832,2694314.913
12/17/2016,7.820282701,5469007.786
12/18/2016,7.856185613,3489317.42
12/19/2016,7.592236165,3326290.39
12/20/2016,7.623783721,3764440.223
12/21/2016,7.856099401,6468951.581
12/22/2016,7.575643744,12618111.16
12/23/2016,7.201805732,14660852.23
