Date,Monero_price,Monero_volume
11/8/2015,0.497038237,49049.22267
11/9/2015,0.471766503,33126.18681
11/10/2015,0.458849843,29368.27621
11/11/2015,0.436919062,38722.38216
11/12/2015,0.442171976,45044.30758
11/13/2015,0.461796496,25080.80435
11/14/2015,0.426321274,19728.57143
11/15/2015,0.423245076,20334.00908
11/16/2015,0.436680644,16895.76334
11/17/2015,0.429461768,11633.49642
11/18/2015,0.417633418,18875.36124
11/19/2015,0.417477705,25365.73905
11/20/2015,0.388521982,9349.5858
11/21/2015,0.390972165,29770.51749
11/22/2015,0.391816164,8601.952782
11/23/2015,0.390699862,7844.093334
11/24/2015,0.385639438,13084.62252
11/25/2015,0.388301258,18847.65652
11/26/2015,0.405449997,28956.73001
11/27/2015,0.385218732,30110.76029
11/28/2015,0.390248916,15695.3102
11/29/2015,0.398576565,13688.59129
11/30/2015,0.395899841,29864.46052
12/1/2015,0.377598454,19351.64595
12/2/2015,0.370571604,15531.32086
12/3/2015,0.366657574,18630.35529
12/4/2015,0.370337992,21673.34986
12/5/2015,0.440231751,57868.73268
12/6/2015,0.437959428,43285.96792
12/7/2015,0.422763052,28509.13413
12/8/2015,0.437341848,40160.14964
12/9/2015,0.450507792,36748.26688
12/10/2015,0.437601379,22960.57953
12/11/2015,0.460374806,18776.4864
12/12/2015,0.454687938,16967.94419
12/13/2015,0.459987755,23997.52803
12/14/2015,0.540619448,103495.8171
12/15/2015,0.556263373,39051.07148
12/16/2015,0.517950539,26580.84918
12/17/2015,0.502291197,19599.43815
12/18/2015,0.50012307,17439.74127
12/19/2015,0.489556911,16348.32919
12/20/2015,0.506563456,43653.12668
12/21/2015,0.486872199,54472.11017
12/22/2015,0.481054424,25492.05101
12/23/2015,0.480335023,34625.83979
12/24/2015,0.487194435,22923.67552
12/25/2015,0.48976303,10368.22976
12/26/2015,0.448395016,16505.75198
12/27/2015,0.450081019,16203.25648
12/28/2015,0.445308518,13901.77242
12/29/2015,0.456866031,14818.79077
12/30/2015,0.442691991,33366.07476
12/31/2015,0.465356331,28746.18498
1/1/2016,0.512459528,89745.79278
1/2/2016,0.531256217,63617.54073
1/3/2016,0.498160697,41953.38653
1/4/2016,0.512957257,28260.10782
1/5/2016,0.514279756,28913.56114
1/6/2016,0.518208152,20518.37048
1/7/2016,0.489255866,46109.79309
1/8/2016,0.503014123,19962.48947
1/9/2016,0.492341466,29117.00138
1/10/2016,0.495455555,30828.2011
1/11/2016,0.494005181,22649.32618
1/12/2016,0.497997363,51786.15931
1/13/2016,0.480329631,41904.47178
1/14/2016,0.490619679,34552.7256
1/15/2016,0.428714314,43435.01923
1/16/2016,0.493802143,38706.36831
1/17/2016,0.438518401,55068.629
1/18/2016,0.496145892,72397.58992
1/19/2016,0.538059163,91042.57613
1/20/2016,0.530384744,111937.7358
1/21/2016,0.546970232,66169.98675
1/22/2016,0.52914828,67446.59646
1/23/2016,0.535779414,65986.68008
1/24/2016,0.623499252,144016.4461
1/25/2016,0.584185147,73656.1526
1/26/2016,0.594357071,81858.87239
1/27/2016,0.605335889,122784.6282
1/28/2016,0.559206089,46938.65855
1/29/2016,0.512603881,79321.47264
1/30/2016,0.506024821,39185.9508
1/31/2016,0.477798028,42088.49535
2/1/2016,0.492161191,37356.14216
2/2/2016,0.4936695,20174.5395
2/3/2016,0.489730599,23939.12643
2/4/2016,0.506430583,29083.84527
2/5/2016,0.492836191,48604.48648
2/6/2016,0.480844497,35181.73051
2/7/2016,0.476671601,51264.96715
2/8/2016,0.478671213,29072.67945
2/9/2016,0.465998256,36697.44904
2/10/2016,0.478177185,53278.71399
2/11/2016,0.532063607,210126.1732
2/12/2016,0.600671873,179976.5504
2/13/2016,0.79987332,1056449.666
2/14/2016,0.846256625,591671.0405
2/15/2016,0.790230694,450585.3687
2/16/2016,0.951412865,863923.6854
2/17/2016,0.730191054,568146.2313
2/18/2016,0.773547487,219878.529
2/19/2016,0.832180579,205514.0853
2/20/2016,0.852313403,371604.9318
2/21/2016,0.796632189,181367.8041
2/22/2016,0.783314957,127512.6342
2/23/2016,0.751582204,80531.92295
2/24/2016,0.795967478,118077.0504
2/25/2016,0.801192148,228439.5628
2/26/2016,0.814814835,72876.16827
2/27/2016,0.830680547,98286.82121
2/28/2016,0.868711211,141497.3311
2/29/2016,0.867302273,132474.2453
3/1/2016,0.836026827,168483.8731
3/2/2016,0.829139201,130947.5216
3/3/2016,1.076827401,815621.6168
3/4/2016,1.169658495,800331.1358
3/5/2016,1.190796135,1146010.204
3/6/2016,1.230995366,970787.3291
3/7/2016,1.035738128,481290.5784
3/8/2016,1.166640879,377997.7699
3/9/2016,1.22848976,861461.8789
3/10/2016,1.089390492,396951.8917
3/11/2016,1.101244589,134291.1644
3/12/2016,1.161679074,339118.1358
3/13/2016,1.240040145,263586.0765
3/14/2016,1.112007334,202724.7922
3/15/2016,1.142916144,211895.9983
3/16/2016,1.147341085,154193.2592
3/17/2016,1.284648536,518675.0749
3/18/2016,1.143938882,400172.5347
3/19/2016,1.211771515,268648.2194
3/20/2016,1.476868616,1023253.58
3/21/2016,1.453015397,808414.6085
3/22/2016,1.363075517,561456.7965
3/23/2016,1.457812267,469646.3079
3/24/2016,1.696210373,1290114.584
3/25/2016,1.590281636,732883.784
3/26/2016,1.688081582,505309.961
3/27/2016,1.510285931,928177.3254
3/28/2016,1.484360572,587488.0798
3/29/2016,1.482644648,317960.1985
3/30/2016,1.437873115,313978.1129
3/31/2016,1.402239544,193039.8391
4/1/2016,1.450113445,334445.8343
4/2/2016,1.562620995,467691.5318
4/3/2016,1.494077593,376639.7428
4/4/2016,1.58814481,297984.9228
4/5/2016,1.508836165,395091.7605
4/6/2016,1.503187958,246145.5467
4/7/2016,1.521460242,251168.5022
4/8/2016,1.213140906,447241.8141
4/9/2016,1.327692041,728484.0541
4/10/2016,1.088801411,1337871.558
4/11/2016,1.009314603,286524.1341
4/12/2016,0.932993183,602612.456
4/13/2016,1.027508521,418959.9041
4/14/2016,1.008341397,193841.1675
4/15/2016,0.988584806,361880.4598
4/16/2016,0.979202079,112190.7955
4/17/2016,1.031342192,287274.9718
4/18/2016,1.095953877,280081.2851
4/19/2016,1.131999559,267232.281
4/20/2016,1.05475795,307044.3783
4/21/2016,0.972097786,199740.1689
4/22/2016,0.982437492,140695.9903
4/23/2016,1.041900974,107761.0414
4/24/2016,1.029211407,112557.5407
4/25/2016,1.040256367,79267.50179
4/26/2016,0.891562386,333468.7008
4/27/2016,0.947731005,306791.5216
4/28/2016,0.905439966,93478.37121
4/29/2016,0.886691161,97694.42459
4/30/2016,0.919754947,121973.3191
5/1/2016,0.914653181,61432.63889
5/2/2016,0.970108432,210439.454
5/3/2016,0.916832243,98668.36171
5/4/2016,0.917634277,100573.717
5/5/2016,0.904814671,79350.59396
5/6/2016,0.88735206,71985.22277
5/7/2016,0.882523394,108241.014
5/8/2016,0.847288611,73030.37665
5/9/2016,0.83567229,88781.17868
5/10/2016,0.826082857,128445.0185
5/11/2016,0.855267661,50610.08855
5/12/2016,0.875704738,85442.2317
5/13/2016,0.848216734,64712.82033
5/14/2016,0.841358276,25709.30442
5/15/2016,0.824005266,53045.66872
5/16/2016,0.81930266,100858.5022
5/17/2016,0.815206551,116554.7878
5/18/2016,0.84433187,200785.4278
5/19/2016,0.857358952,139828.8759
5/20/2016,0.946470104,311925.8816
5/21/2016,0.975988171,113629.7342
5/22/2016,0.924304236,182068.5122
5/23/2016,0.907636803,116813.7673
5/24/2016,0.926665722,165042.4537
5/25/2016,0.868656797,102896.6942
5/26/2016,0.859362193,88926.25342
