Date,Ripple_price,Ripple_volume
5/9/2015,0.007561392,182288.7498
5/10/2015,0.007368375,554266.416
5/11/2015,0.007359909,441133.0915
5/12/2015,0.007213213,966734.4412
5/13/2015,0.006881933,931983.7144
5/14/2015,0.006603687,639446.702
5/15/2015,0.006658437,252413.8971
5/16/2015,0.006585009,67763.93815
5/17/2015,0.006322455,355658.8613
5/18/2015,0.005737675,1222401.357
5/19/2015,0.006534164,990976.8542
5/20/2015,0.00662716,467420.8808
5/21/2015,0.00655908,182847.5466
5/22/2015,0.00658984,235787.4823
5/23/2015,0.006767123,303130.7416
5/24/2015,0.0068018,145157.0509
5/25/2015,0.006909413,305313.4451
5/26/2015,0.006780547,472593.0972
5/27/2015,0.006896159,399468.5659
5/28/2015,0.007778883,1200481.565
5/29/2015,0.008963105,1457278.46
5/30/2015,0.008380196,479474.8978
5/31/2015,0.008246722,244931.6875
6/1/2015,0.00759258,674742.6732
6/2/2015,0.007862677,491307.5514
6/3/2015,0.007983912,392910.0969
6/4/2015,0.007864452,223350.1218
6/5/2015,0.007948022,190979.018
6/6/2015,0.007891933,108435.7371
6/7/2015,0.007870988,86381.19706
6/8/2015,0.008005162,221057.7273
6/9/2015,0.007996003,205195.0137
6/10/2015,0.007996681,252996.9554
6/11/2015,0.008042587,194272.2285
6/12/2015,0.008057612,134384.3294
6/13/2015,0.008094781,79009.075
6/14/2015,0.008140319,313424.3347
6/15/2015,0.008561769,640139.2901
6/16/2015,0.009298611,1506339.806
6/17/2015,0.009556657,1039075.196
6/18/2015,0.010200592,1095829.868
6/19/2015,0.011157673,1169680.848
6/20/2015,0.010986428,661354.5831
6/21/2015,0.010286663,547535.7043
6/22/2015,0.010463733,478476.1688
6/23/2015,0.010638045,483624.1641
6/24/2015,0.010873436,632116.8584
6/25/2015,0.011004297,324267.842
6/26/2015,0.011248688,317239.1559
6/27/2015,0.011509526,238725.8574
6/28/2015,0.011494165,236274.6174
6/29/2015,0.011954964,807664.6715
6/30/2015,0.011376403,871943.7894
7/1/2015,0.011219593,465278.4672
7/2/2015,0.011030568,393946.474
7/3/2015,0.011098897,230127.831
7/4/2015,0.01078849,118457.5239
7/5/2015,0.010015355,676856.6171
7/6/2015,0.009870148,803356.1205
7/7/2015,0.009565651,589050.5506
7/8/2015,0.009400586,794429.9023
7/9/2015,0.008864692,889491.4027
7/10/2015,0.008839254,1265392.362
7/11/2015,0.008497069,387291.1749
7/12/2015,0.008574929,332866.4367
7/13/2015,0.008518609,786414.0069
7/14/2015,0.008613248,699160.2101
7/15/2015,0.008478053,488721.9922
7/16/2015,0.008094657,753474.662
7/17/2015,0.00801398,294920.794
7/18/2015,0.008059296,66432.12919
7/19/2015,0.008082289,82839.01839
7/20/2015,0.007934081,275845.4419
7/21/2015,0.007698594,508798.3458
7/22/2015,0.007560407,346426.4109
7/23/2015,0.007476347,164563.0461
7/24/2015,0.007672516,273903.4794
7/25/2015,0.007876475,236290.7482
7/26/2015,0.008108821,229163.5184
7/27/2015,0.008544551,647154.0556
7/28/2015,0.00843525,138517.4475
7/29/2015,0.008497085,172808.7184
7/30/2015,0.008481734,306977.946
7/31/2015,0.008439202,400814.2775
8/1/2015,0.008232693,193329.7295
8/2/2015,0.008221594,212531.2981
8/3/2015,0.008279511,225601.4001
8/4/2015,0.008252001,179249.444
8/5/2015,0.008217578,218338.2478
8/6/2015,0.008012509,381038.5796
8/7/2015,0.008138153,361106.808
8/8/2015,0.00844904,618992.3025
8/9/2015,0.008808926,515287.9096
8/10/2015,0.008743894,467863.3478
8/11/2015,0.008637151,280076.1766
8/12/2015,0.008325919,276176.4744
8/13/2015,0.008168055,186776.8083
8/14/2015,0.008327993,398703.5799
8/15/2015,0.008445317,152896.2834
8/16/2015,0.008316917,285941.6199
8/17/2015,0.008296679,332949.9429
8/18/2015,0.008120357,185652.0394
8/19/2015,0.007745846,484796.7056
8/20/2015,0.007860106,202471.4024
8/21/2015,0.007870553,258817.5374
8/22/2015,0.007707228,175365.5931
8/23/2015,0.007557939,136890.9769
8/24/2015,0.00737444,526218.0181
8/25/2015,0.00711903,592564.2302
8/26/2015,0.00746876,186547.8829
8/27/2015,0.007542605,196102.9134
8/28/2015,0.007409918,411465.8087
8/29/2015,0.007732692,352318.7073
8/30/2015,0.00805132,400770.2524
8/31/2015,0.0078805,606628.4957
9/1/2015,0.00779858,396332.3457
9/2/2015,0.007674311,392641.4751
9/3/2015,0.007402259,319693.8552
9/4/2015,0.007331166,463667.6718
9/5/2015,0.00784837,847966.917
9/6/2015,0.007870307,283042.7437
9/7/2015,0.007909554,232682.3277
9/8/2015,0.007826767,193865.1471
9/9/2015,0.007681692,232947.7769
9/10/2015,0.007657432,233643.6381
9/11/2015,0.008419,77328
9/12/2015,0.008214,24849
9/13/2015,0.008538,63632
9/14/2015,0.007412,270150
9/15/2015,0.007716,680532
9/16/2015,0.007426,317219
9/17/2015,0.007367,541163
9/18/2015,0.007529,501034
9/19/2015,0.007482,441676
9/20/2015,0.007635,444690
9/21/2015,0.007247,245305
9/22/2015,0.007177,284055
9/23/2015,0.006675,973293
9/24/2015,0.006694,419912
9/25/2015,0.006649,408041
9/26/2015,0.006506,438200
9/27/2015,0.006536,270173
9/28/2015,0.006304,574865
9/29/2015,0.005592,970329
9/30/2015,0.005512,742544
10/1/2015,0.005446,568455
10/2/2015,0.005862,577241
10/3/2015,0.005539,405104
10/4/2015,0.00524,355458
10/5/2015,0.005019,628117
10/6/2015,0.005334,349986
10/7/2015,0.005451,308791
10/8/2015,0.005451,308791
10/9/2015,0.005451,308791
10/10/2015,0.005053,526102
10/11/2015,0.005053,526102
10/12/2015,0.005053,526102
10/13/2015,0.005053,526102
10/14/2015,0.005446,297064
10/15/2015,0.005394,440223
10/16/2015,0.005395,344095
10/17/2015,0.005189,391619
10/18/2015,0.004975,243534
10/19/2015,0.005044,302751
10/20/2015,0.004735,407004
10/21/2015,0.004694,256746
10/22/2015,0.004716,301573
10/23/2015,0.004673,296182
10/24/2015,0.004641,185315
10/25/2015,0.00459,287547
10/26/2015,0.00467,428659
10/27/2015,0.00464,360357
10/28/2015,0.004664,315213
10/29/2015,0.004637,556971
10/30/2015,0.004837,1014070
10/31/2015,0.004688,314981
11/1/2015,0.004918,485171
11/2/2015,0.005117,583592
11/3/2015,0.005362,1025490
11/4/2015,0.004919,1275000
11/5/2015,0.004522,1246000
11/6/2015,0.004561,794178
11/7/2015,0.004693,363671
11/8/2015,0.004649,315374
11/9/2015,0.004606,304132
11/10/2015,0.004399,406969
11/11/2015,0.004236,453354
11/12/2015,0.004503,488065
11/13/2015,0.004477,335490
11/14/2015,0.004318,137048
11/15/2015,0.004165,274004
11/16/2015,0.004176,221757
11/17/2015,0.004251,251917
11/18/2015,0.004264,250305
11/19/2015,0.004226,176114
11/20/2015,0.004221,290405
11/21/2015,0.004243,205374
11/22/2015,0.004268,173958
11/23/2015,0.004288,311516
11/24/2015,0.004237,178928
11/25/2015,0.004313,203575
11/26/2015,0.00427,387565
11/27/2015,0.004287,205816
11/28/2015,0.004237,198598
11/29/2015,0.004293,198012
11/30/2015,0.004206,272886
12/1/2015,0.004087,310073
12/2/2015,0.004177,330056
12/3/2015,0.00426,138497
12/4/2015,0.004773,900240
12/5/2015,0.005259,739699
12/6/2015,0.00536,998953
12/7/2015,0.005508,755692
12/8/2015,0.006677,2402450
12/9/2015,0.00849,5761720
12/10/2015,0.008549,3200960
12/11/2015,0.008445,3438320
12/12/2015,0.008466,1599100
12/13/2015,0.008787,1422940
12/14/2015,0.007778,2102930
12/15/2015,0.006684,4949920
12/16/2015,0.006754,1253530
12/17/2015,0.006692,557414
12/18/2015,0.006384,839006
12/19/2015,0.006284,469068
12/20/2015,0.00624,569171
12/21/2015,0.006271,519639
12/22/2015,0.006187,462921
12/23/2015,0.006028,363393
12/24/2015,0.005971,336219
12/25/2015,0.006488,792755
12/26/2015,0.006182,685867
12/27/2015,0.006355,472465
12/28/2015,0.006338,466009
12/29/2015,0.006248,315986
12/30/2015,0.00619,270827
12/31/2015,0.006043,375142
1/1/2016,0.00594,202906
1/2/2016,0.006072,278544
1/3/2016,0.006008,291194
1/4/2016,0.00596,309972
1/5/2016,0.006042,383534
1/6/2016,0.006008,320954
1/7/2016,0.006008,320954
1/8/2016,0.005941,289496
1/9/2016,0.005995,313463
1/10/2016,0.00595,192853
1/11/2016,0.005901,217804
1/12/2016,0.005883,297315
1/13/2016,0.005789,485992
1/14/2016,0.005527,849158
1/15/2016,0.005474,724813
1/16/2016,0.00511,329552
1/17/2016,0.00511,329552
1/18/2016,0.005331,524883
1/19/2016,0.005271,220146
1/20/2016,0.005369,725223
1/21/2016,0.005319,349802
1/22/2016,0.005104,355429
1/23/2016,0.005147,327528
1/24/2016,0.005222,342213
1/25/2016,0.005127,406317
1/26/2016,0.00536,764678
1/27/2016,0.00536,764678
1/28/2016,0.006234,2212140
1/29/2016,0.006887,2889670
1/30/2016,0.006632,1235620
1/31/2016,0.006405,957898
2/1/2016,0.006551,842502
2/2/2016,0.00677,823529
2/3/2016,0.006881,803020
2/4/2016,0.006977,1174280
2/5/2016,0.007265,1180190
2/6/2016,0.007893,1849760
2/7/2016,0.008349,2471040
2/8/2016,0.007991,1048800
2/9/2016,0.007778,771055
2/10/2016,0.00787,679746
2/11/2016,0.00781,549706
2/12/2016,0.007941,835967
2/13/2016,0.008274,673950
2/14/2016,0.008542,1135610
2/15/2016,0.008617,749244
2/16/2016,0.008452,998678
2/17/2016,0.008159,1536300
2/18/2016,0.007989,879841
2/19/2016,0.008247,717554
2/20/2016,0.008295,481937
2/21/2016,0.008098,495910
2/22/2016,0.008057,587656
2/23/2016,0.00797,829952
2/24/2016,0.008069,470760
2/25/2016,0.008027,827609
2/26/2016,0.008049,571449
2/27/2016,0.007974,417091
2/28/2016,0.007887,567906
2/29/2016,0.00793,699525
3/1/2016,0.007975,760809
3/2/2016,0.008028,428689
3/3/2016,0.008048,678272
3/4/2016,0.008136,528696
3/5/2016,0.007929,1158790
3/6/2016,0.007859,583805
3/7/2016,0.007922,579040
3/8/2016,0.007955,662396
3/9/2016,0.00805,396606
3/10/2016,0.008188,1342330
3/11/2016,0.008808,2796150
3/12/2016,0.008676,1574980
3/13/2016,0.008594,855385
3/14/2016,0.008488,848173
3/15/2016,0.008175,284630
3/16/2016,0.008207,217798
3/17/2016,0.008283,177764
3/18/2016,0.008106,229210
3/19/2016,0.008018,163982
3/20/2016,0.007964,114972
3/21/2016,0.008043,80477
3/22/2016,0.008109,607934
3/23/2016,0.00833,1025450
3/24/2016,0.008231,956683
3/25/2016,0.008192,759700
3/26/2016,0.008053,305743
3/27/2016,0.008029,419730
3/28/2016,0.007561,2100870
3/29/2016,0.007563,1119050
3/30/2016,0.00733,1211310
3/31/2016,0.007389,1045170
4/1/2016,0.007421,822108
4/2/2016,0.007498,394148
4/3/2016,0.007506,266345
4/4/2016,0.007494,308755
4/5/2016,0.007474,469603
4/6/2016,0.007302,795051
4/7/2016,0.006877,1446380
4/8/2016,0.006671,867534
4/9/2016,0.006292,1036040
4/10/2016,0.005927,740126
4/11/2016,0.006068,1807670
4/12/2016,0.005877,1191660
4/13/2016,0.005707,1385790
4/14/2016,0.006315,192288
4/15/2016,0.006373,155910
4/16/2016,0.006489,69562
4/17/2016,0.0065,56584
4/18/2016,0.006984,1061730
4/19/2016,0.00713,403883
4/20/2016,0.007245,1313140
4/21/2016,0.007475,956562
4/22/2016,0.00728,1004390
4/23/2016,0.007347,316474
4/24/2016,0.007254,499271
4/25/2016,0.007277,590718
4/26/2016,0.007117,821664
4/27/2016,0.006743,865930
4/28/2016,0.006689,745304
4/29/2016,0.006758,535007
4/30/2016,0.006813,410256
5/1/2016,0.006796,237705
5/2/2016,0.006713,583376
5/3/2016,0.006559,331479
